date,option_type,strike,expiry,immediate_execution_gap,spot,moneyness,tau,is_put,spread,target_1m,target_3m,target_5m,target_10m
2026-04-20 01:30:01.170,C,4.7000,20260624,0.12324,4.7340,-0.0340,0.17808,0,0.01650,0.00000,0.00000,-0.00510,0.00000
2026-04-20 01:30:01.190,P,4.1000,20260527,0.01368,4.7340,-0.6340,0.10137,1,0.00090,0.00045,0.00000,0.00000,-0.00040
2026-04-20 01:30:01.270,P,4.5810,20260624,0.00455,4.7340,-0.1530,0.17808,1,0.01190,0.00000,0.00000,0.00000,-0.00430
2026-04-20 01:30:01.270,C,4.4830,20260624,0.02672,4.7340,-0.2510,0.17808,0,0.03480,-0.00690,0.00000,-0.00590,0.00315
2026-04-20 01:30:01.270,C,4.4000,20260527,0.00156,4.7340,-0.3340,0.10137,0,0.02230,0.00000,0.00000,0.00000,0.00210
2026-04-20 01:30:01.280,P,4.5000,20260422,0.05121,4.7340,-0.2340,0.00548,1,0.00040,-0.00005,0.00000,-0.00045,-0.00075
2026-04-20 01:30:01.390,P,4.8000,20260422,0.00162,4.7340,0.0660,0.00548,1,0.00200,0.00775,0.00000,0.00000,0.00000
2026-04-20 01:30:02.190,P,4.1000,20260527,0.01383,4.7340,-0.6340,0.10137,1,0.00100,0.00000,0.00015,-0.00015,-0.00055
2026-04-20 01:30:02.250,P,4.3000,20260527,0.01046,4.7340,-0.4340,0.10137,1,0.00170,0.00000,0.00000,-0.00145,0.00000
2026-04-20 01:30:02.280,P,4.5000,20260422,0.05121,4.7340,-0.2340,0.00548,1,0.00040,0.00000,-0.00035,0.00000,0.00000
2026-04-20 01:30:02.290,P,4.7000,20260422,0.05127,4.7340,-0.0340,0.00548,1,0.00060,0.00260,0.00205,0.00025,0.00000
2026-04-20 01:30:02.360,C,4.0000,20260624,0.00776,4.7340,-0.7340,0.17808,0,0.04120,-0.00915,0.00000,0.00000,0.00000
2026-04-20 01:30:02.390,P,4.8000,20260422,0.00242,4.7340,0.0660,0.00548,1,0.00120,0.00830,0.00840,0.00655,0.00000
2026-04-20 01:30:04.250,P,4.3000,20260527,0.01345,4.7370,-0.4370,0.10137,1,0.00170,0.00000,0.00000,-0.00145,0.00000
2026-04-20 01:30:04.290,P,4.7000,20260422,0.04606,4.7370,-0.0370,0.00548,1,0.00020,0.00250,0.00200,0.00005,0.00000
2026-04-20 01:30:04.360,C,4.0000,20260624,0.01140,4.7370,-0.7370,0.17808,0,0.04200,0.00000,0.00000,0.00000,0.00475
2026-04-20 01:30:08.360,P,4.0000,20260624,0.00255,4.7370,-0.7370,0.17808,1,0.00120,0.00000,0.00000,0.00000,-0.00045
2026-04-20 01:30:08.390,C,4.8000,20260422,0.00633,4.7370,0.0630,0.00548,0,0.00010,-0.00115,-0.00120,0.00000,0.00010
2026-04-20 01:30:08.490,C,4.8000,20260624,0.00156,4.7370,0.0630,0.17808,0,0.00710,0.00000,0.00000,0.00000,-0.00090
